 table_schema |          table_name          
--------------+------------------------------
 cron         | job
 cron         | job_run_details
 extensions   | pg_stat_statements
 extensions   | pg_stat_statements_info
 net          | _http_response
 net          | http_request_queue
 public       | coop_balances
 public       | coop_ledger
 public       | emails_sortants
 public       | exploitation_labels
 public       | facture_lignes
 public       | facture_sequences_producteur
 public       | factures
 public       | legal_documents
 public       | legal_entities
 public       | legal_entities_public
 public       | lot_inputs
 public       | lot_labels
 public       | lot_price_breakdown
 public       | lot_reservations
 public       | lot_trace_steps
 public       | lots
 public       | notifications
 public       | order_items
 public       | order_participants
 public       | order_pickup_slots
 public       | order_products
 public       | order_status_history
 public       | orders
 public       | payments
 public       | pending_documents_view
 public       | platform_fee_costs
 public       | platform_settings
 public       | product_images
 public       | product_ingredients
 public       | product_journey_steps
 public       | product_labels
 public       | product_questions
 public       | product_reviews
 public       | products
 public       | profiles
 public       | v_products_listing
(42 lignes)

 table_schema |          table_name          | ordinal_position |             column_name             |        data_type         | is_nullable 
--------------+------------------------------+------------------+-------------------------------------+--------------------------+-------------
 cron         | job                          |                1 | jobid                               | bigint                   | NO
 cron         | job                          |                2 | schedule                            | text                     | NO
 cron         | job                          |                3 | command                             | text                     | NO
 cron         | job                          |                4 | nodename                            | text                     | NO
 cron         | job                          |                5 | nodeport                            | integer                  | NO
 cron         | job                          |                6 | database                            | text                     | NO
 cron         | job                          |                7 | username                            | text                     | NO
 cron         | job                          |                8 | active                              | boolean                  | NO
 cron         | job                          |                9 | jobname                             | text                     | YES
 cron         | job_run_details              |                1 | jobid                               | bigint                   | YES
 cron         | job_run_details              |                2 | runid                               | bigint                   | NO
 cron         | job_run_details              |                3 | job_pid                             | integer                  | YES
 cron         | job_run_details              |                4 | database                            | text                     | YES
 cron         | job_run_details              |                5 | username                            | text                     | YES
 cron         | job_run_details              |                6 | command                             | text                     | YES
 cron         | job_run_details              |                7 | status                              | text                     | YES
 cron         | job_run_details              |                8 | return_message                      | text                     | YES
 cron         | job_run_details              |                9 | start_time                          | timestamp with time zone | YES
 cron         | job_run_details              |               10 | end_time                            | timestamp with time zone | YES
 extensions   | pg_stat_statements           |                1 | userid                              | oid                      | YES
 extensions   | pg_stat_statements           |                2 | dbid                                | oid                      | YES
 extensions   | pg_stat_statements           |                3 | toplevel                            | boolean                  | YES
 extensions   | pg_stat_statements           |                4 | queryid                             | bigint                   | YES
 extensions   | pg_stat_statements           |                5 | query                               | text                     | YES
 extensions   | pg_stat_statements           |                6 | plans                               | bigint                   | YES
 extensions   | pg_stat_statements           |                7 | total_plan_time                     | double precision         | YES
 extensions   | pg_stat_statements           |                8 | min_plan_time                       | double precision         | YES
 extensions   | pg_stat_statements           |                9 | max_plan_time                       | double precision         | YES
 extensions   | pg_stat_statements           |               10 | mean_plan_time                      | double precision         | YES
 extensions   | pg_stat_statements           |               11 | stddev_plan_time                    | double precision         | YES
